PACK_SIZE,Target_Percentage,Other_Percentage,Affinity
270,0.03172329103561195,0.024934417859469357,1.2722691668361683
380,0.03203029062627916,0.025484603602176095,1.2568486889685873
330,0.061144085141219814,0.04993485800806352,1.2244770002419196
134,0.11845067539909947,0.10029666015246748,1.1810031881324352
210,0.029471960704052395,0.02507086392366063,1.1755462753015955
110,0.10494269340974212,0.08950861810947376,1.1724311650235921
135,0.014838313548915268,0.013059208788887128,1.1362337327466643
250,0.014326647564469915,0.012715892885438123,1.1266725579983756
170,0.08058739255014327,0.08102255321396504,0.9946291415592324
150,0.15759312320916904,0.16339636261201781,0.9644836683627501
175,0.25567949242734345,0.270220426415958,0.9461886202258031
165,0.05638559148587802,0.06247909294177714,0.9024713521116973
190,0.00757265656979124,0.01253103047588866,0.6043123575800107
180,0.0035816618911174787,0.006153277346432155,0.5820738590946544
160,0.006549324600900532,0.01250902304618039,0.5235680337882468
90,0.006549324600900532,0.01267627951196324,0.5166598444535407
70,0.0032234957020057307,0.006355745699748235,0.5071782060338601
125,0.003018829308227589,0.006140072888607194,0.4916601745606275
200,0.009158821121571839,0.018899980633461856,0.48459420669227654
220,0.0031723291035611954,0.006611031884364162,0.479853850208182
